key	shape	dtype	rank	lora_side	lora_base	layer_index	projection	prefix_kind	expert_kind	expert_index	mamba_kind
base_model.model.backbone.layers.0.mixer.in_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.0.mixer.in_proj	0	in_proj	backbone			in_proj
base_model.model.backbone.layers.0.mixer.in_proj.lora_B.weight	10304x32	F32	32	B	base_model.model.backbone.layers.0.mixer.in_proj	0	in_proj	backbone			in_proj
base_model.model.backbone.layers.0.mixer.out_proj.lora_A.weight	32x4096	F32	32	A	base_model.model.backbone.layers.0.mixer.out_proj	0	out_proj	backbone			out_proj
base_model.model.backbone.layers.0.mixer.out_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.0.mixer.out_proj	0	out_proj	backbone			out_proj
base_model.model.backbone.layers.1.mixer.experts.0.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.0.down_proj	1	down_proj	backbone	per_expert	0	
base_model.model.backbone.layers.1.mixer.experts.0.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.0.down_proj	1	down_proj	backbone	per_expert	0	
base_model.model.backbone.layers.1.mixer.experts.0.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.0.up_proj	1	up_proj	backbone	per_expert	0	
base_model.model.backbone.layers.1.mixer.experts.0.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.0.up_proj	1	up_proj	backbone	per_expert	0	
base_model.model.backbone.layers.1.mixer.experts.1.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.1.down_proj	1	down_proj	backbone	per_expert	1	
base_model.model.backbone.layers.1.mixer.experts.1.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.1.down_proj	1	down_proj	backbone	per_expert	1	
base_model.model.backbone.layers.1.mixer.experts.1.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.1.up_proj	1	up_proj	backbone	per_expert	1	
base_model.model.backbone.layers.1.mixer.experts.1.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.1.up_proj	1	up_proj	backbone	per_expert	1	
base_model.model.backbone.layers.1.mixer.experts.10.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.10.down_proj	1	down_proj	backbone	per_expert	10	
base_model.model.backbone.layers.1.mixer.experts.10.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.10.down_proj	1	down_proj	backbone	per_expert	10	
base_model.model.backbone.layers.1.mixer.experts.10.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.10.up_proj	1	up_proj	backbone	per_expert	10	
base_model.model.backbone.layers.1.mixer.experts.10.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.10.up_proj	1	up_proj	backbone	per_expert	10	
base_model.model.backbone.layers.1.mixer.experts.100.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.100.down_proj	1	down_proj	backbone	per_expert	100	
base_model.model.backbone.layers.1.mixer.experts.100.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.100.down_proj	1	down_proj	backbone	per_expert	100	
base_model.model.backbone.layers.1.mixer.experts.100.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.100.up_proj	1	up_proj	backbone	per_expert	100	
base_model.model.backbone.layers.1.mixer.experts.100.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.100.up_proj	1	up_proj	backbone	per_expert	100	
base_model.model.backbone.layers.1.mixer.experts.101.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.101.down_proj	1	down_proj	backbone	per_expert	101	
base_model.model.backbone.layers.1.mixer.experts.101.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.101.down_proj	1	down_proj	backbone	per_expert	101	
base_model.model.backbone.layers.1.mixer.experts.101.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.101.up_proj	1	up_proj	backbone	per_expert	101	
base_model.model.backbone.layers.1.mixer.experts.101.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.101.up_proj	1	up_proj	backbone	per_expert	101	
base_model.model.backbone.layers.1.mixer.experts.102.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.102.down_proj	1	down_proj	backbone	per_expert	102	
base_model.model.backbone.layers.1.mixer.experts.102.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.102.down_proj	1	down_proj	backbone	per_expert	102	
base_model.model.backbone.layers.1.mixer.experts.102.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.102.up_proj	1	up_proj	backbone	per_expert	102	
base_model.model.backbone.layers.1.mixer.experts.102.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.102.up_proj	1	up_proj	backbone	per_expert	102	
base_model.model.backbone.layers.1.mixer.experts.103.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.103.down_proj	1	down_proj	backbone	per_expert	103	
base_model.model.backbone.layers.1.mixer.experts.103.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.103.down_proj	1	down_proj	backbone	per_expert	103	
base_model.model.backbone.layers.1.mixer.experts.103.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.103.up_proj	1	up_proj	backbone	per_expert	103	
base_model.model.backbone.layers.1.mixer.experts.103.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.103.up_proj	1	up_proj	backbone	per_expert	103	
base_model.model.backbone.layers.1.mixer.experts.104.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.104.down_proj	1	down_proj	backbone	per_expert	104	
base_model.model.backbone.layers.1.mixer.experts.104.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.104.down_proj	1	down_proj	backbone	per_expert	104	
base_model.model.backbone.layers.1.mixer.experts.104.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.104.up_proj	1	up_proj	backbone	per_expert	104	
base_model.model.backbone.layers.1.mixer.experts.104.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.104.up_proj	1	up_proj	backbone	per_expert	104	
base_model.model.backbone.layers.1.mixer.experts.105.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.105.down_proj	1	down_proj	backbone	per_expert	105	
base_model.model.backbone.layers.1.mixer.experts.105.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.105.down_proj	1	down_proj	backbone	per_expert	105	
base_model.model.backbone.layers.1.mixer.experts.105.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.105.up_proj	1	up_proj	backbone	per_expert	105	
base_model.model.backbone.layers.1.mixer.experts.105.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.105.up_proj	1	up_proj	backbone	per_expert	105	
base_model.model.backbone.layers.1.mixer.experts.106.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.106.down_proj	1	down_proj	backbone	per_expert	106	
base_model.model.backbone.layers.1.mixer.experts.106.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.106.down_proj	1	down_proj	backbone	per_expert	106	
base_model.model.backbone.layers.1.mixer.experts.106.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.106.up_proj	1	up_proj	backbone	per_expert	106	
base_model.model.backbone.layers.1.mixer.experts.106.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.106.up_proj	1	up_proj	backbone	per_expert	106	
base_model.model.backbone.layers.1.mixer.experts.107.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.107.down_proj	1	down_proj	backbone	per_expert	107	
base_model.model.backbone.layers.1.mixer.experts.107.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.107.down_proj	1	down_proj	backbone	per_expert	107	
base_model.model.backbone.layers.1.mixer.experts.107.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.107.up_proj	1	up_proj	backbone	per_expert	107	
base_model.model.backbone.layers.1.mixer.experts.107.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.107.up_proj	1	up_proj	backbone	per_expert	107	
base_model.model.backbone.layers.1.mixer.experts.108.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.108.down_proj	1	down_proj	backbone	per_expert	108	
base_model.model.backbone.layers.1.mixer.experts.108.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.108.down_proj	1	down_proj	backbone	per_expert	108	
